# epoch	training_loss	training_acc	validation_loss	validation_acc
520	0.0086	0.9979	0.2014	0.9695
521	0.0110	0.9969	0.1695	0.9656
522	0.0046	0.9990	0.1693	0.9699
523	0.0036	0.9984	0.1567	0.9711
524	0.0063	0.9977	0.1658	0.9711
525	0.0021	0.9995	0.1978	0.9765
526	0.0063	0.9979	0.2076	0.9711
527	0.0076	0.9982	0.4032	0.9456
528	0.0072	0.9977	0.2211	0.9593
529	0.0035	0.9982	0.2201	0.9715
530	0.0020	0.9995	0.2572	0.9679
531	0.0120	0.9977	0.1743	0.9730
532	0.0086	0.9977	0.1549	0.9742
533	0.0061	0.9974	0.1796	0.9703
534	0.0046	0.9990	0.1577	0.9758
535	0.0049	0.9992	0.1750	0.9750
536	0.0070	0.9974	0.2052	0.9730
537	0.0017	0.9995	0.2053	0.9758
538	0.0047	0.9984	0.1776	0.9750
539	0.0057	0.9977	0.2449	0.9632
540	0.0065	0.9971	0.1719	0.9660
541	0.0031	0.9995	0.2079	0.9707
542	0.0054	0.9990	0.1829	0.9746
543	0.0054	0.9987	0.1866	0.9734
544	0.0018	0.9997	0.1986	0.9715
545	0.0059	0.9984	0.1774	0.9769
546	0.0087	0.9971	0.2073	0.9703
547	0.0032	0.9995	0.2338	0.9683
548	0.0062	0.9982	0.2188	0.9687
549	0.0046	0.9992	0.1755	0.9718
550	0.0067	0.9971	0.1950	0.9769
551	0.0036	0.9984	0.2415	0.9699
552	0.0038	0.9979	0.2450	0.9668
553	0.0059	0.9979	0.2145	0.9687
554	0.0053	0.9982	0.2369	0.9671
555	0.0103	0.9963	0.1434	0.9730
556	0.0027	0.9995	0.2018	0.9679
557	0.0050	0.9977	0.2811	0.9628
558	0.0020	0.9990	0.2424	0.9683
559	0.0069	0.9992	0.3071	0.9625
560	0.0054	0.9974	0.2002	0.9761
561	0.0025	0.9990	0.2796	0.9644
562	0.0069	0.9971	0.2726	0.9699
563	0.0063	0.9982	0.2336	0.9695
564	0.0046	0.9977	0.1917	0.9750
565	0.0046	0.9979	0.3159	0.9644
566	0.0044	0.9979	0.1984	0.9738
567	0.0036	0.9982	0.2545	0.9652
568	0.0086	0.9974	0.2309	0.9597
569	0.0033	0.9990	0.2083	0.9738
570	0.0106	0.9969	0.1857	0.9726
571	0.0050	0.9990	0.1832	0.9711
572	0.0024	0.9992	0.2264	0.9726
573	0.0091	0.9979	0.2800	0.9648
574	0.0049	0.9984	0.3182	0.9582
575	0.0078	0.9992	0.1864	0.9738
576	0.0083	0.9987	0.1891	0.9679
577	0.0104	0.9971	0.1721	0.9718
578	0.0022	0.9995	0.1554	0.9754
579	0.0038	0.9990	0.1518	0.9804
580	0.0057	0.9979	0.2805	0.9707
581	0.0073	0.9984	0.1858	0.9715
582	0.0066	0.9984	0.1685	0.9746
583	0.0040	0.9982	0.2410	0.9695
584	0.0021	0.9992	0.2219	0.9711
585	0.0038	0.9987	0.1874	0.9754
586	0.0034	0.9982	0.2258	0.9730
587	0.0024	0.9990	0.2337	0.9761
588	0.0028	0.9987	0.2206	0.9761
589	0.0042	0.9984	0.2144	0.9750
590	0.0086	0.9977	0.2004	0.9738
591	0.0065	0.9979	0.2062	0.9730
592	0.0037	0.9992	0.2417	0.9715
593	0.0067	0.9987	0.2075	0.9671
594	0.0063	0.9979	0.2018	0.9730
595	0.0069	0.9990	0.1829	0.9711
596	0.0032	0.9982	0.2015	0.9738
597	0.0066	0.9971	0.2110	0.9699
598	0.0038	0.9982	0.1958	0.9758
599	0.0044	0.9984	0.2096	0.9730
600	0.0045	0.9987	0.2415	0.9703
601	0.0046	0.9987	0.4852	0.9417
602	0.0045	0.9984	0.2195	0.9691
603	0.0050	0.9982	0.2068	0.9754
604	0.0048	0.9992	0.1840	0.9754
605	0.0035	0.9987	0.1931	0.9777
606	0.0075	0.9974	0.2221	0.9734
607	0.0066	0.9979	0.1604	0.9754
608	0.0018	0.9990	0.1805	0.9785
